iter	Passed	Remaining
968	1103164	35292
969	1103939	34142
970	1105027	33002
971	1106376	31870
972	1107696	30737
973	1108933	29601
974	1110011	28461
975	1111143	27323
976	1112026	26178
977	1112891	25034
978	1114090	23897
979	1115166	22758
980	1116065	21615
981	1117390	20481
982	1118510	19343
983	1119589	18204
984	1120705	17066
985	1122004	15931
986	1122987	14791
987	1123782	13649
988	1124968	12512
989	1126340	11377
990	1127198	10236
991	1127958	9096
992	1129187	7960
993	1130418	6823
994	1131823	5687
995	1132845	4549
996	1134252	3412
997	1135337	2275
998	1136460	1137
999	1137569	0
